Episode,Reward,Length,WinRate,Loss,Entropy
1,-432.0,0,0.0,3.4149383306503296,0.7978072091937065
2,-190.0,0,0.0,2.3596729934215546,0.7977644205093384
3,-149.0,0,0.0,3.808989480137825,0.8400531336665154
4,-419.0,0,0.0,2.2165275923907757,0.7185697481036186
5,-486.0,0,0.0,2.254423312842846,0.6714967377483845
6,-451.0,0,0.0,2.031676632165909,0.7024502366781235
7,-395.0,0,0.0,3.052953824400902,0.7365097813308239
8,-384.0,0,0.0,1.8802079260349274,0.7738944739103317
9,-476.0,0,0.0,3.4180580576260886,0.7741331035892168
10,-197.0,0,0.0,3.517006516456604,0.6534665375947952
11,-412.0,0,0.0,4.046744863192241,0.7264346182346344
12,-451.0,0,0.0,1.7469873130321503,0.736887514591217
13,-417.0,0,0.0,4.105941206216812,0.707279622554779
14,-381.0,0,0.0,3.9559924751520157,0.7209675349295139
15,-462.0,0,0.0,5.228962421417236,0.7109975546598435
16,-412.0,0,0.0,2.7043341994285583,0.6279992014169693
17,-439.0,0,0.0,4.386011719703674,0.6978137989838918
18,-472.0,0,0.0,5.075053970019023,0.6031795293092728
19,-420.0,0,0.0,2.6279365022977195,0.5496208419402441
20,-432.0,0,0.0,4.163144159317016,0.6049428015947342
21,-483.0,0,0.0,3.1984104037284853,0.5227520316839218
22,-404.0,0,0.0,4.371953586737315,0.4486101493239403
23,-505.0,0,0.0,3.7051312625408173,0.7515940368175507
24,-374.0,0,0.0,3.3610748648643494,0.555221576243639
25,-442.0,0,0.0,3.449442227681478,0.6685967296361923
26,-412.0,0,0.0,3.7191331535577774,0.6098844148218632
27,-20.0,0,0.0,2.333237886428833,0.4764514695852995
28,-381.0,0,0.0,4.428127606709798,0.4659477099776268
29,-20.0,0,0.0,3.2276145964860916,0.4383413642644882
30,-381.0,0,0.0,2.7324116110801695,0.4776614338159561
31,-413.0,0,0.0,2.135249118010203,0.49034042035539943
32,-378.0,0,0.0,4.579182426134746,0.42653627942005795
33,-350.0,0,0.0,4.001927574475606,0.33876124893625575
34,-410.0,0,0.0,3.6787559390068054,0.462910957634449
35,200.0,0,0.0,1.6117028951644898,0.5068196520209313
36,-357.0,0,0.0,1.7974444031715393,0.5025848131626844
37,-460.0,0,0.0,3.1964784264564514,0.4494340032339096
38,-296.0,0,0.0,1.8082700123389561,0.5006460286676884
39,-386.0,0,0.0,3.8881744146347046,0.22571570798754692
40,-449.0,0,0.0,5.661149382591248,0.4902934618294239
41,-133.0,0,0.0,3.0493749618530273,0.5257262945175171
42,-421.0,0,0.0,2.6101571023464203,0.5012261532247066
43,-327.0,0,0.0,1.9231337249279021,0.4510725736618042
44,-416.0,0,0.0,3.455293369293213,0.15955655761063098
45,-102.0,0,0.0,3.2120463152726493,0.3643972227970759
46,-400.0,0,0.0,3.8070551455020905,0.3312002494931221
47,-223.0,0,0.0,2.3034275472164154,0.36286281049251556
48,-392.0,0,0.0,2.870088130235672,0.2793918624520302
49,-402.0,0,0.0,2.303400754928589,0.36800223141908645
50,-327.0,0,0.0,2.3729834109544754,0.3441103547811508
