Episode,Reward,Length,WinRate,Loss,Entropy
1,-441.0,0,0.0,0.3067340025678277,
2,-471.0,0,0.0,0.13404082440091336,
3,-486.0,0,0.0,0.10350198540146704,
4,-474.0,0,0.0,0.07083521610391992,
5,-471.0,0,0.0,0.0860569808353609,
6,-408.0,0,0.0,0.09054863339963745,
7,-431.0,0,0.0,0.09650636169625573,
8,-431.0,0,0.0,0.10531799292022531,
9,-367.0,0,0.0,0.08682781191808837,
10,-319.0,0,0.0,0.1265569214842149,
11,-397.0,0,0.0,0.08525940713783105,
12,-505.0,0,0.0,0.11697860803731062,
13,-464.0,0,0.0,0.10061555164419625,
14,-447.0,0,0.0,0.15768480224308568,
15,-387.0,0,0.0,0.15251199108068692,
16,-299.0,0,0.0,0.11871451959640038,
17,-482.0,0,0.0,0.16932495951652526,
18,-444.0,0,0.0,0.15492170134728606,
19,-442.0,0,0.0,0.14835435800653482,
20,-459.0,0,0.0,0.1584869785606861,
21,-394.0,0,0.0,0.12742732019852038,
22,-343.0,0,0.0,0.17237594392564562,
23,-437.0,0,0.0,0.10920424546514239,
24,-372.0,0,0.0,0.16800240651462917,
25,-409.0,0,0.0,0.15274505654261225,
26,-435.0,0,0.0,0.1467082038245819,
27,-472.0,0,0.0,0.16228283544381458,
28,-426.0,0,0.0,0.1581512483127125,
29,-465.0,0,0.0,0.17564476386476785,
30,-415.0,0,0.0,0.18919351206798302,
31,-418.0,0,0.0,0.17122009719605558,
32,-484.0,0,0.0,0.16318250601661616,
33,-344.0,0,0.0,0.14086074463051299,
34,-394.0,0,0.0,0.21221181716209922,
35,-417.0,0,0.0,0.2123096757210218,
36,-400.0,0,0.0,0.19336328744888306,
37,-294.0,0,0.0,0.20824156378237707,
38,-419.0,0,0.0,0.1820601692630185,
39,-479.0,0,0.0,0.200930225922436,
40,-434.0,0,0.0,0.21148825256574538,
41,-376.0,0,0.0,0.22758865440264345,
42,-406.0,0,0.0,0.25540307333523576,
43,-103.0,0,0.0,0.20426665885827025,
44,-385.0,0,0.0,0.2713798349318297,
45,-180.0,0,0.0,0.2762026973068714,
46,-433.0,0,0.0,0.24836720360649955,
47,-364.0,0,0.0,0.23773097111420197,
48,-461.0,0,0.0,0.2620198112296856,
