Episode,Reward,Length,WinRate,Loss,Entropy
213,130.0,500,0.0,,
214,-379.0,337,0.0,,
215,-317.0,153,0.0,,
216,-344.0,167,0.0,,
217,-383.0,145,0.0,,
218,-345.0,69,0.0,,
219,-457.0,13,0.0,,
220,-297.0,133,0.0,,
221,-379.0,257,0.0,,
222,-383.0,65,0.0,,
223,-470.0,19,0.0,,
224,-448.0,15,0.0,,
225,-297.0,213,0.0,,
226,-447.0,53,0.0,,
227,-425.0,29,0.0,,
228,-161.0,242,0.0,,
229,-402.0,343,0.0,,
230,-333.0,265,0.0,,
231,-350.0,119,0.0,,
232,-386.0,111,0.0,,
233,-187.0,73,0.0,,
234,-391.0,201,0.0,,
235,-445.0,89,0.0,,
236,-346.0,351,0.0,,
237,-327.0,133,0.0,,
238,-355.0,109,0.0,,
239,-458.0,15,0.0,,
240,-357.0,313,0.0,,
241,-476.0,31,0.0,,
242,350.0,500,0.0,,
243,-344.0,207,0.0,,
244,-400.0,59,0.0,,
245,-395.0,149,0.0,,
246,-350.0,79,0.0,,
247,-431.0,41,0.0,,
248,-463.0,25,0.0,,
249,-281.0,161,0.0,,
250,-193.0,486,0.0,,
251,-405.0,49,0.0,,
252,-490.0,19,0.0,,
253,-457.0,13,0.0,,
254,-349.0,97,0.0,,
255,-385.0,49,0.0,,
256,-283.0,325,0.0,,
257,-130.0,280,0.0,,
258,-383.0,85,0.0,,
259,-367.0,93,0.0,,
260,-311.0,221,0.0,,
261,-416.0,51,0.0,,
262,-361.0,141,0.0,,
263,-307.0,153,0.0,,
264,-460.0,19,0.0,,
265,-316.0,151,0.0,,
266,-338.0,95,0.0,,
267,-152.0,63,0.0,,
268,-332.0,183,0.0,,
269,-302.0,123,0.0,,
270,-403.0,85,0.0,,
271,-408.0,35,0.0,,
272,-216.0,111,0.0,,
273,-377.0,53,0.0,,
274,-164.0,167,0.0,,
275,-362.0,63,0.0,,
276,-374.0,147,0.0,,
277,-429.0,357,0.0,,
278,-457.0,13,0.0,,
279,-395.0,29,0.0,,
280,-307.0,313,0.0,,
281,-379.0,377,0.0,,
282,-182.0,123,0.0,,
283,-357.0,53,0.0,,
284,-350.0,159,0.0,,
285,-446.0,11,0.0,,
286,-324.0,147,0.0,,
287,-457.0,13,0.0,,
288,-107.0,214,0.0,,
289,-456.0,31,0.0,,
290,-457.0,13,0.0,,
291,-380.0,59,0.0,,
292,-159.0,138,0.0,,
293,-401.0,41,0.0,,
294,-433.0,25,0.0,,
295,-260.0,239,0.0,,
296,-423.0,25,0.0,,
297,-346.0,231,0.0,,
298,-303.0,245,0.0,,
299,-309.0,237,0.0,,
300,-323.0,225,0.0,,
301,-297.0,113,0.0,,
302,-365.0,169,0.0,,
303,-448.0,15,0.0,,
304,-463.0,25,0.0,,
305,-404.0,27,0.0,,
306,-438.0,35,0.0,,
307,-447.0,13,0.0,,
308,-386.0,231,0.0,,
309,-390.0,139,0.0,,
310,834.0,431,0.01,,
311,-303.0,205,0.01,,
312,-375.0,49,0.01,,
313,-269.0,177,0.01,,
314,-315.0,169,0.01,,
315,-325.0,109,0.01,,
316,-222.0,163,0.01,,
317,-437.0,13,0.01,,
318,-429.0,37,0.01,,
319,-333.0,165,0.01,,
320,-164.0,247,0.01,,
321,-395.0,29,0.01,,
322,-206.0,191,0.01,,
323,-232.0,143,0.01,,
324,-395.0,69,0.01,,
325,-380.0,39,0.01,,
326,-138.0,195,0.01,,
327,-436.0,51,0.01,,
328,-334.0,127,0.01,,
329,-365.0,69,0.01,,
330,-300.0,139,0.01,,
331,-298.0,155,0.01,,
332,-339.0,137,0.01,,
333,-313.0,145,0.01,,
334,-392.0,23,0.01,,
335,460.0,500,0.01,,
336,57.0,425,0.01,,
337,-329.0,177,0.01,,
338,-123.0,305,0.01,,
339,-195.0,369,0.01,,
340,-354.0,207,0.01,,
341,-356.0,71,0.01,,
342,-457.0,13,0.01,,
343,-269.0,237,0.01,,
344,-386.0,31,0.01,,
345,-33.0,205,0.01,,
346,-436.0,31,0.01,,
347,-369.0,37,0.01,,
348,-315.0,69,0.01,,
349,-299.0,497,0.01,,
350,-313.0,125,0.01,,
351,-389.0,57,0.01,,
352,-313.0,65,0.01,,
353,-347.0,113,0.01,,
354,-387.0,113,0.01,,
355,-430.0,159,0.01,,
356,-446.0,11,0.01,,
357,1006.0,487,0.02,,
358,-420.0,19,0.02,,
359,-178.0,95,0.02,,
360,-405.0,29,0.02,,
361,-110.0,100,0.02,,
362,-248.0,215,0.02,,
363,-320.0,59,0.02,,
364,-218.0,96,0.02,,
365,-92.0,123,0.02,,
366,-257.0,293,0.02,,
367,-419.0,17,0.02,,
368,-338.0,155,0.02,,
369,53.0,253,0.02,,
370,18.0,163,0.02,,
371,-231.0,202,0.02,,
372,-295.0,69,0.02,,
373,-212.0,403,0.02,,
374,-234.0,167,0.02,,
375,853.0,393,0.03,,
376,-193.0,305,0.03,,
377,-307.0,93,0.03,,
378,-197.0,133,0.03,,
379,-119.0,137,0.03,,
380,-457.0,13,0.03,,
381,-393.0,25,0.03,,
382,-419.0,17,0.03,,
383,-83.0,265,0.03,,
384,-306.0,151,0.03,,
385,-446.0,11,0.03,,
386,-337.0,113,0.03,,
387,-216.0,131,0.03,,
388,-333.0,465,0.03,,
389,-448.0,15,0.03,,
390,-222.0,183,0.03,,
391,-343.0,65,0.03,,
392,-150.0,259,0.03,,
393,-346.0,111,0.03,,
394,-341.0,81,0.03,,
395,-92.0,164,0.03,,
396,-330.0,59,0.03,,
397,-357.0,173,0.03,,
398,-273.0,225,0.03,,
399,-139.0,178,0.03,,
400,250.0,500,0.03,,
401,-131.0,101,0.03,,
402,-283.0,125,0.03,,
403,-428.0,15,0.03,,
404,-389.0,57,0.03,,
405,-445.0,29,0.03,,
406,-273.0,85,0.03,,
407,-257.0,73,0.03,,
408,-335.0,249,0.03,,
409,-336.0,71,0.03,,
410,-53.0,105,0.02,,
411,-119.0,138,0.02,,
412,-356.0,71,0.02,,
413,-304.0,127,0.02,,
414,-55.0,169,0.02,,
415,-424.0,27,0.02,,
416,-163.0,246,0.02,,
417,1137.0,225,0.03,,
418,-211.0,121,0.03,,
419,-149.0,177,0.03,,
420,-212.0,143,0.03,,
421,670.0,500,0.03,,
422,-416.0,31,0.03,,
423,-333.0,65,0.03,,
424,-230.0,199,0.03,,
425,-147.0,393,0.03,,
426,-327.0,173,0.03,,
427,-340.0,159,0.03,,
428,-428.0,15,0.03,,
429,-414.0,27,0.03,,
430,-437.0,13,0.03,,
431,210.0,500,0.03,,
432,-284.0,187,0.03,,
433,-335.0,109,0.03,,
434,-377.0,33,0.03,,
435,44.0,311,0.03,,
436,-374.0,47,0.03,,
437,-362.0,43,0.03,,
438,-190.0,399,0.03,,
439,-97.0,53,0.03,,
440,-22.0,124,0.03,,
441,-293.0,185,0.03,,
442,-317.0,233,0.03,,
443,-171.0,41,0.03,,
444,101.0,177,0.03,,
445,-205.0,169,0.03,,
446,-56.0,91,0.03,,
447,-410.0,39,0.03,,
448,77.0,305,0.03,,
449,-277.0,153,0.03,,
450,-233.0,365,0.03,,
451,-368.0,155,0.03,,
452,-428.0,15,0.03,,
453,83.0,294,0.03,,
454,-411.0,21,0.03,,
455,-65.0,129,0.03,,
456,-54.0,207,0.03,,
457,-450.0,19,0.02,,
458,-102.0,63,0.02,,
459,813.0,473,0.03,,
460,-95.0,110,0.03,,
461,-431.0,21,0.03,,
462,-374.0,47,0.03,,
463,-197.0,53,0.03,,
464,-201.0,461,0.03,,
465,-200.0,399,0.03,,
466,-177.0,433,0.03,,
467,-312.0,63,0.03,,
468,-285.0,129,0.03,,
469,-170.0,39,0.03,,
470,-130.0,79,0.03,,
471,-212.0,143,0.03,,
472,-347.0,33,0.03,,
473,-447.0,13,0.03,,
474,-165.0,149,0.03,,
475,-91.0,302,0.02,,
476,-356.0,31,0.02,,
477,-108.0,235,0.02,,
478,-428.0,15,0.02,,
479,843.0,413,0.03,,
480,-100.0,200,0.03,,
481,-457.0,13,0.03,,
482,-232.0,123,0.03,,
483,-359.0,37,0.03,,
484,-241.0,121,0.03,,
485,-239.0,97,0.03,,
