Episode,Reward,Length,WinRate,Loss,Entropy
212,-460.0,0,0.0,,
213,-475.0,0,0.0,,
214,-412.0,0,0.0,,
215,-458.0,0,0.0,,
216,-296.0,0,0.0,,
217,-450.0,0,0.0,,
218,-439.0,0,0.0,,
219,-451.0,0,0.0,,
220,-427.0,0,0.0,,
221,-351.0,0,0.0,,
222,-468.0,0,0.0,,
223,-444.0,0,0.0,,
224,-465.0,0,0.0,,
225,-439.0,0,0.0,,
226,-411.0,0,0.0,,
227,-442.0,0,0.0,,
228,-471.0,0,0.0,,
229,-455.0,0,0.0,,
230,-471.0,0,0.0,,
231,-412.0,0,0.0,,
232,-394.0,0,0.0,,
233,-443.0,0,0.0,,
234,-429.0,0,0.0,,
235,-429.0,0,0.0,,
236,-431.0,0,0.0,,
237,-428.0,0,0.0,,
238,-316.0,0,0.0,,
239,-482.0,0,0.0,,
240,-457.0,0,0.0,,
241,-444.0,0,0.0,,
242,-431.0,0,0.0,,
243,-389.0,0,0.0,,
244,-467.0,0,0.0,,
245,-340.0,0,0.0,,
246,-411.0,0,0.0,,
247,-432.0,0,0.0,,
248,-169.0,0,0.0,,
249,-405.0,0,0.0,,
250,-417.0,0,0.0,,
251,-406.0,0,0.0,,
252,-397.0,0,0.0,,
253,-494.0,0,0.0,,
254,-430.0,0,0.0,,
255,-317.0,0,0.0,,
256,-355.0,0,0.0,,
257,-403.0,0,0.0,,
258,-433.0,0,0.0,,
259,-415.0,0,0.0,,
260,-424.0,0,0.0,,
261,-467.0,0,0.0,,
262,-372.0,0,0.0,,
263,-429.0,0,0.0,,
264,-439.0,0,0.0,,
265,-385.0,0,0.0,,
266,-385.0,0,0.0,,
267,-466.0,0,0.0,,
268,-407.0,0,0.0,,
269,-404.0,0,0.0,,
270,-272.0,0,0.0,,
271,-469.0,0,0.0,,
272,-383.0,0,0.0,,
273,-474.0,0,0.0,,
274,-396.0,0,0.0,,
275,-348.0,0,0.0,,
276,-488.0,0,0.0,,
277,-339.0,0,0.0,,
278,-421.0,0,0.0,,
279,-394.0,0,0.0,,
280,-401.0,0,0.0,,
281,-423.0,0,0.0,,
282,-391.0,0,0.0,,
283,-322.0,0,0.0,,
284,-450.0,0,0.0,,
285,-482.0,0,0.0,,
286,-390.0,0,0.0,,
287,-350.0,0,0.0,,
288,-387.0,0,0.0,,
289,-462.0,0,0.0,,
290,-428.0,0,0.0,,
291,-407.0,0,0.0,,
292,-335.0,0,0.0,,
293,-419.0,0,0.0,,
294,-451.0,0,0.0,,
295,-330.0,0,0.0,,
296,-432.0,0,0.0,,
297,-410.0,0,0.0,,
298,-409.0,0,0.0,,
299,-428.0,0,0.0,,
300,-430.0,0,0.0,,
301,-402.0,0,0.0,,
302,-442.0,0,0.0,,
303,-465.0,0,0.0,,
304,-479.0,0,0.0,,
305,-459.0,0,0.0,,
306,-438.0,0,0.0,,
307,-449.0,0,0.0,,
308,-362.0,0,0.0,,
309,-440.0,0,0.0,,
310,-434.0,0,0.0,,
311,-457.0,0,0.0,,
312,-368.0,0,0.0,,
313,-441.0,0,0.0,,
314,-434.0,0,0.0,,
315,-396.0,0,0.0,,
316,-422.0,0,0.0,,
317,-422.0,0,0.0,,
318,-137.0,0,0.0,,
319,-396.0,0,0.0,,
320,-120.0,0,0.0,,
321,-406.0,0,0.0,,
322,-389.0,0,0.0,,
323,-440.0,0,0.0,,
324,-404.0,0,0.0,,
325,-434.0,0,0.0,,
326,-420.0,0,0.0,,
327,-457.0,0,0.0,,
328,-370.0,0,0.0,,
329,-463.0,0,0.0,,
330,-414.0,0,0.0,,
331,-233.0,0,0.0,,
332,-433.0,0,0.0,,
333,-455.0,0,0.0,,
334,-433.0,0,0.0,,
335,-483.0,0,0.0,,
336,-331.0,0,0.0,,
337,-466.0,0,0.0,,
338,-431.0,0,0.0,,
339,-369.0,0,0.0,,
340,-420.0,0,0.0,,
341,-469.0,0,0.0,,
342,-412.0,0,0.0,,
343,-430.0,0,0.0,,
344,-418.0,0,0.0,,
345,-397.0,0,0.0,,
346,-452.0,0,0.0,,
347,-453.0,0,0.0,,
348,-406.0,0,0.0,,
349,-398.0,0,0.0,,
350,-468.0,0,0.0,,
